id,album_title,album_rd,eng_track_title,raw_track_title,featured,performed_by,lang,spotify_track_duration_ms,spotify_track_id,spotify_track_danceability,spotify_track_energy,spotify_track_key,spotify_track_loudness,spotify_track_mode,spotify_track_speechiness,spotify_track_acousticness,spotify_track_instrumentalness,spotify_track_liveness,spotify_track_valence,spotify_track_tempo,spotify_track_time_signature
FEAT-29,Angel Anniversary Edition (feat. Muni Long JVKE NLE Choppa),2024-05-15,Angel Pt. 2 (feat. Jimin of BTS & JVKE feat. Charlie Puth & Muni Long),,JIMIN,JVKE; Charlie Puth; Muni Long; Fast & Furious: The Fast Saga,ENG,176454,3gSobY1JXFJn6wh1ON35ni,0.57,0.635,1,-6.641,1,0.121,0.186,0.00E+00,0.0874,0.364,84.856,4
FEAT-30,Left and Right (feat. Jung Kook of BTS) [Instrumental],2022-06-23,Left and Right (feat. Jung Kook of BTS) - Instrumental,,JUNG KOOK,Charlie Puth,ENG,152117,3QRJgF8HY4zEuboEy4Q1gd,0.899,0.464,2,-8.003,1,0.0667,0.504,9.00E-01,0.0753,0.654,101.014,4
FEAT-31,Left and Right (Feat. Jung Kook of BTS),2022-06-24,Left and Right (Feat. Jung Kook of BTS),,JUNG KOOK,Charlie Puth,ENG,154486,0mBP9X2gPCuapvpZ7TGDk3,0.881,0.592,2,-4.898,1,0.0324,0.619,1.32E-05,0.0901,0.719,101.058,4
FEAT-32,Left and Right (feat. Jung Kook of BTS) [Sam Feldt Remix],2022-08-12,Left and Right (feat. Jung Kook of BTS) - Sam Feldt Remix,,JUNG KOOK,Charlie Puth,ENG,162540,17IVw95dOZSIiq7dz4UWaD,0.773,0.836,2,-5.366,1,0.0724,0.0295,4.48E-04,0.0914,0.614,122.006,4
FEAT-33,Left and Right (feat. Jung Kook of BTS) [Sam Feldt Remix],2022-08-12,Left and Right (Feat. Jung Kook of BTS),,JUNG KOOK,Charlie Puth,ENG,154486,6hcHRtozkrTnk8D6rh7lED,0.881,0.592,2,-4.898,1,0.0324,0.619,1.32E-05,0.0901,0.719,101.058,4
FEAT-34,Left and Right (Feat. Jung Kook of BTS),2022-08-19,Left and Right (Feat. Jung Kook of BTS),,JUNG KOOK,Charlie Puth,ENG,154486,6RhEbk4odKK0PwPhpok7h1,0.881,0.592,2,-4.898,1,0.0324,0.619,1.32E-05,0.0901,0.719,101.058,4
FEAT-35,Left and Right (Feat. Jung Kook of BTS),2022-08-19,Left and Right (Feat. Jung Kook of BTS) - Acapella,,JUNG KOOK,Charlie Puth,ENG,154486,0lWsA6TPYDRWenhCJrbfYu,0.571,0.169,9,-8.628,1,0.0554,0.753,0.00E+00,0.0975,0.742,202.365,4
FEAT-36,Left and Right (Feat. Jung Kook of BTS),2022-08-19,Left and Right (feat. Jung Kook of BTS) - Instrumental,,JUNG KOOK,Charlie Puth,NA,152117,4O9scbI6lMZ4eMyTcZqrZJ,0.899,0.464,2,-8.003,1,0.0667,0.504,9.00E-01,0.0753,0.654,101.014,4
FEAT-37,Left and Right (feat. Jung Kook of BTS) [Galantis Remix],2022-09-01,Left and Right (feat. Jung Kook of BTS) - Galantis Remix,,JUNG KOOK,Charlie Puth,ENG,165269,7twpmDySuCWpASRjWVEdnJ,0.736,0.809,2,-4.487,1,0.0323,0.15,1.51E-03,0.0886,0.744,122.023,4
FEAT-38,Left and Right (feat. Jung Kook of BTS) [Galantis Remix],2022-09-01,Left and Right (Feat. Jung Kook of BTS),,JUNG KOOK,Charlie Puth,ENG,154486,4Xc7y7CHJn51Toq1c77TXl,0.881,0.592,2,-4.898,1,0.0324,0.619,1.32E-05,0.0901,0.719,101.058,4
FEAT-39,Bad Decisions (with BTS & Snoop Dogg),2022-08-05,Bad Decisions (with BTS & Snoop Dogg),,BTS,benny blanco; Snoop Dogg,ENG,172714,0xzI1KAr0Yd9tv8jlIk3sn,0.762,0.861,0,-3.296,1,0.0955,0.0185,0.00E+00,0.264,0.955,120.048,4
FEAT-40,Bad Decisions (with BTS & Snoop Dogg) [Acoustic],2022-08-04,Bad Decisions (with BTS & Snoop Dogg) - Acoustic,,BTS,benny blanco; Snoop Dogg,ENG,174438,5f4JnMfQTPGaQA0egHTww0,0.716,0.624,5,-4.57,1,0.0409,0.495,0.00E+00,0.0924,0.608,120.23,4
FEAT-41,Bad Decisions (with BTS & Snoop Dogg) [Instrumental],2022-08-03,Bad Decisions (with BTS & Snoop Dogg) - Instrumental,,BTS,benny blanco; Snoop Dogg,NA,172714,4oyP9PdgeUYVISvz8Pf0EZ,0.815,0.671,0,-5.059,1,0.073,0.000388,7.46E-01,0.267,0.821,120.023,4
